القسم,الصنف,Item,الوصف,الحجم,السعر,شارة,الصورة,ظاهر
المشروبات الباردة,آيس فريدو,Espresso Freddo,إسبريسو مخفوق مثلج على الطريقة اليونانية,,12,جديد,iced_1b0f3a.jpg,نعم
المشروبات الباردة,آيس قهوة اليوم,Iced Coffee of the Day,قهوة اليوم مقدمة باردة مع الثلج,S,8,جديد,,نعم
المشروبات الباردة,آيس قهوة اليوم,Iced Coffee of the Day,قهوة اليوم مقدمة باردة مع الثلج,L,10,جديد,,نعم
المشروبات الباردة,آيس لاتيه,Iced Latte,إسبريسو مع حليب بارد وثلج,S,11,جديد,,نعم
المشروبات الباردة,آيس لاتيه,Iced Latte,إسبريسو مع حليب بارد وثلج,L,14,جديد,,نعم
المشروبات الباردة,آيس سبانش لاتيه,Iced Spanish Latte,سبانش لاتيه منعش مع الثلج,S,13,جديد,,نعم
المشروبات الباردة,آيس سبانش لاتيه,Iced Spanish Latte,سبانش لاتيه منعش مع الثلج,L,16,جديد,,نعم
المشروبات الباردة,آيس موكا,Iced Mocha,موكا باردة بالشوكولاتة,S,12,جديد,,نعم
المشروبات الباردة,آيس موكا,Iced Mocha,موكا باردة بالشوكولاتة,L,15,جديد,,نعم
المشروبات الباردة,آيس وايت موكا,Iced White Mocha,وايت موكا باردة كريمية,S,13,جديد,,نعم
المشروبات الباردة,آيس وايت موكا,Iced White Mocha,وايت موكا باردة كريمية,L,16,جديد,,نعم
المشروبات الباردة,آيس توفي لاتيه,Iced Toffee Latte,لاتيه مثلج بنكهة التوفي,S,13,جديد,,نعم
المشروبات الباردة,آيس توفي لاتيه,Iced Toffee Latte,لاتيه مثلج بنكهة التوفي,L,16,جديد,,نعم
المشروبات الباردة,آيس كراميل ميكاتو,Iced Caramel Macchiato,كراميل ميكاتو بارد بطبقات جذابة,S,13,جديد,,نعم
المشروبات الباردة,آيس كراميل ميكاتو,Iced Caramel Macchiato,كراميل ميكاتو بارد بطبقات جذابة,L,16,جديد,,نعم
المشروبات الباردة,آيس كراميل لاتيه,Iced Caramel Latte,لاتيه مثلج بصوص الكراميل,S,13,جديد,,نعم
المشروبات الباردة,آيس كراميل لاتيه,Iced Caramel Latte,لاتيه مثلج بصوص الكراميل,L,16,جديد,,نعم
المشروبات الباردة,آيس كراميل فرابتشينو,Iced Caramel Frappuccino,فرابتشينو مخفوق بالكراميل والكريمة,S,15,جديد,,نعم
المشروبات الباردة,آيس كراميل فرابتشينو,Iced Caramel Frappuccino,فرابتشينو مخفوق بالكراميل والكريمة,L,18,جديد,,نعم
المشروبات الباردة,ماء,Water,مياه معدنية,,2,جديد,,نعم
موهيتو ومنعشات,آيس كركديه,Iced Karkadeh,شراب الكركديه المنعش بطبقات الفواكه,S,8,الأكثر مبيعاً,mojito_96cd86.jpg,نعم
موهيتو ومنعشات,آيس كركديه,Iced Karkadeh,شراب الكركديه المنعش بطبقات الفواكه,L,11,الأكثر مبيعاً,mojito_96cd86.jpg,نعم
موهيتو ومنعشات,موهيتو فراولة,Strawberry Mojito,موهيتو منعش بالفراولة والنعناع,,13,جديد,,نعم
موهيتو ومنعشات,موهيتو خوخ,Peach Mojito,موهيتو منعش بالخوخ والنعناع,,13,جديد,,نعم
موهيتو ومنعشات,موهيتو بطيخ,Watermelon Mojito,موهيتو صيفي بالبطيخ,,13,جديد,,نعم
موهيتو ومنعشات,موهيتو توت أزرق,Blueberry Mojito,موهيتو بالتوت الأزرق,,13,جديد,,نعم
موهيتو ومنعشات,موهيتو توت أسود,Blackberry Mojito,موهيتو بالتوت الأسود,,13,جديد,,نعم
موهيتو ومنعشات,موهيتو ميكس,Mojito Mix,مزيج نكهات الموهيتو,,14,جديد,,نعم
المختصة,في 60 بور أوفر,V60 Pour-Over,قهوة مختصة محضّرة يدوياً بطريقة V60,,15,الأكثر مبيعاً,hot_1287ca.jpg,نعم
المختصة,آيس في 60,Iced V60,قهوة مختصة باردة بطريقة V60 مع الثلج,,15,الأكثر مبيعاً,specialty_44f9f4.jpg,نعم
المخبوزات والحلويات,كرواسون,Croissant,كرواسون فرنسي طازج بطبقات الزبدة,,8,,,نعم
المخبوزات والحلويات,سان سيباستيان,San Sebastian,تشيز كيك إسباني محروق بقوام كريمي,,18,الأكثر مبيعاً,,نعم
المخبوزات والحلويات,دوناتس,Donut,دوناتس طازج بنكهة متغيرة يومياً,,8,,,نعم
المخبوزات والحلويات,علبة كوكيز BB,BB Cookie Box,4 قطع كوكي فاخر بشعار Double B,,35,,,نعم
المشروبات الساخنة,إسبريسو دبل,Double Espresso,جرعتين من الإسبريسو الفاخر بكريمة ذهبية,,8,,,نعم
المشروبات الساخنة,كركديه ساخن,Hot Karkadeh,شاي الكركديه الدافئ مع لمسة قرفة,S,8,,,نعم
المشروبات الساخنة,كركديه ساخن,Hot Karkadeh,شاي الكركديه الدافئ مع لمسة قرفة,L,11,,,نعم
المشروبات الساخنة,إسبريسو ألفريدو,Espresso Alfredo,إسبريسو مع حليب مكثف محلى,S,12,جديد,,نعم
المشروبات الساخنة,إسبريسو ألفريدو,Espresso Alfredo,إسبريسو مع حليب مكثف محلى,L,14,جديد,,نعم
المشروبات الباردة,مشروبات الطاقة,Energy Drinks,مشروب طاقة منعش مثلج,S,10,جديد,,نعم
المشروبات الباردة,مشروبات الطاقة,Energy Drinks,مشروب طاقة منعش مثلج,L,15,جديد,,نعم
